360,1515-A01
360,1501-M02
360,1509-A00
360,1605-A01
360,1503-M02
360,1509-A02
360,1509-M02
360,1501-M03
360,1505-M03
360,1505-M02
360,1503-A01
360,1505-A02
360,1603-A03
360,1505-A01
360,1501-A02
360,1603-A02
360,1607-A01
360,1601-A01
360,1605-A02
360,1701-M01
360,1703-M01
360,1711-A01
360,1705-A01
360,1713-A01
7,M-007
0P6B150,0P6B150
1 call,1 ca i9300
1+,ONEPLUS A3003
1+,ONEPLUS A3010
1+,ONEPLUS A5000
1+,ONE A0001
1+,ONE E1005
1+,ONE E1003
1+,ONE E1001
1+,"ONE A1001,ONEPLUS A0001,ONE A0001"
1+,ONE E1000
1+,ONE A2003
1+,ONE A2005
1+,"ONE A2003,ONE A2005"
1+,ONE A2001
1-call,1 ca N7100
100+,100C
100+,100Cw
100+,100B
100+,100D
100+,100E
100can,Can-A7
100can,Can-A3
100can,Can-A9
104,LIMA
139,WK E800
139,WK S918
139,WK J200
17vee,DSN100
17vee,17vee F200
17vee,17vee V80
17vee,17vee G6
17vee,17vee V70
17vee,S100-G
17vee,17vee V60
17vee,17vee V1000
1call,a9300
1KY,"YW,YG,MG"
1LEE,"P4,P5,P6,P100,P303,P707"
21,"451,501,S24,S26,G21"
21KE,MC004A
21KE,M3L
21KE,MC002CT
21KE,FM001C
21KE,"MC001S,MC001F"
21KE,MC003C
21KE,MC002D
21KE,MC003A
21KEprofession,MC001
21KEprofession,"MC002A,MC002C"
26,S2018
2N,HE/GE910-G
2SAN,A5801
35Phone,Q4060
35Phone,Q4050
35Phone,Q4350
35Phone,T35S
35Phone,"T30C,T35C"
35Phone,U40M+
35Phone,T35C-L
35Phone,T35C
35Phone,Q4360
35Phone,35Phone V6
35Phone,T35C-LE
35Phone,M100L
35Phone,Q4062
35Phone,T36C
35Phone,U702
35Phone,U705
35Phone,U40M
35Phone,U35M
360,W563
360,W601
360,W562
360,M8050QH
360,W361
360,"W461,W362"
360,W461C
360,W461B
3GNET,3GNET U8
3GNET,3GNET T5
3GNET,3GNET U6
3GNET,3GNET U5
3GNET,3GNET U1
3GNET,G526
3GNET,3GNET G68
3GNET,N520
3GNET,3GNET G89
3GNET,3GNET G66
3GNET,3GNET T2
3GNET,3GNET T800
3GNET,3GNET T900
3GNET,3GNET G80
3GNET,G8300
3GNET,3GNET W100
3GNET,3GNET T6
3GNET,U96
3GNET,U98
3GNET,3GNET G10
3GNET,3GNET Q1
3GNET,3GNET G90
3Q,LT67
3Q,FS030W
3Q,LH92
3Q,"FS020W,LV8900"
3Q,LW1208
3Q,"3Q P1-T01,LT6606"
3Q,"3Q M1-T01, 3Q M2-T01"
3Q,TMX-DM01
3Q,LC8909
3Q,QS0715C
3Q,LV8918
3Q,WM3191
3W Router,CBR-500T
3Wolves,"S888,S999,M16,M15"
3WOLVES,"Q380,Q6700+,Q5130+,Q381"
3Wolves,Marly
3Wolves,Hannah
3Wolves,Hassan
4G,4G T900
4G,4G W5
4G,4G W4
4G,4G E5
4G,4G N3
4G,4G I6
4G,4G I5
4Good,Light B100
4Good,People GT300
4Good,B103K
4Good,Light A104
4Good,Simple Z177
4Good,T800/100m 3G
4Good,LTE-Based smartphone
4Good,People AT100
4Good,Style R407
4Good,Light AT200
4Good,People G
4Good,Light AT300
4Good,Light A103
4STARS,"B555,B666,B777,B888,B999"
4STARS,"N001,N002,N003,N006,N007"
5,ifive pro mini
"500, Nokia 500",RM-750
5IVE,TARZAN F1
6700c-1,RM-470
6degree,Cm01 Cm02 F06 Er02
6degree,Cr01i
6degree,"Bm01,Er01,Cr01,Cm03"
6Degree,"F03,F04, Br01"
6Degree,"AND02,AND03,F01,F02"
7 STEP,Obelix
7 STEP,Odell
7 STEP,Paris
7 STEP,Owen
7 STEP,Aqua
7 STEP,Genesis SS001
"700, Nokia 700",RM-670
747,StarWiFi S1
8848,8848 M4
8848,8848 M3
8900,RBZ41GW (Generic)
9060,9060 X8
9060,9060 X2
9060,9060 Q8
9060,9060 X7
9060,9060 X3
"942SH,","DM005SH, DM007SH"
9700,"RCM71UW (FDD I, II, V/VI) (Generic)"
9780,"RCN72UW/RCN73UW (FDD I, IV, VIII) (TMO-US White)"
9780,"RCM72UW/RCM73UW (FDD I, II, V/VI) (Generic)"
9780,"RCM72UW/RCM73UW (FDD I, II, V/VI) (AT&T)"
9780,"RCN72UW/RCN73UW (FDD I, IV, VIII) (Generic)"
9780,"RCN72UW/RCN73UW (FDD I, IV, VIII) (TMO-US Black)"
A & K,"A1, A2, A700, A800"
A & K,"A777, A999, C300, G2020"
A PHONE,aPhone1.0
A TABLET,aTablet1.0
A-BELL,"A100,A200,A300"
A-BELL,"A10,A18,A21"
A-BELL,"ATOM S2,ATOM Bolt T1"
A-BELL,"ATOM S1,ATOM T4,ATOM T5,ATOM A8"
A-Star,"S20,Q99"
A3 8,9024W
aamra,WE A1
aamra,WE V2
aamra,WE L2
aamra,WE E2
aamra,WE R4
aamra,WE B3
aamra,WE A4
aamra,aPhone/Kaya LITE/Signata/Styla
aamra,Kaya PRO
aamra,WE L5
aamra,WE E1
aamra,WE V3
aamra,WE L6
aamra,WE A3
aamra,WE X3
aamra,A10B
aamra,WE A2
aamra,WE R3
aamra,WE S1
aamra,WE R1
aamra,WE B1
aamra,WE L1
aamra,WE X1
aamra,WE V1
aamra,WE R2
aamra,WE B2
aamra,WE L3
aamra,WE L4
aamra,WE X2
AAPPAA,MB-400
Aava Mobile,INARI8-3GAN-1
ABAKA,H02
ABANS,HT1
ABARDEEN,SM02
ABARDEEN,T1506
ABARDEEN,X926
ABARDEEN,T1601
ABARDEEN,V116
ABARDEEN,T1503
ABARDEEN,T1505
ABARDEEN,"KT04,KT01"
ABARDEEN,"T1501,KT01S"
ABARDEEN,T1502
ABIT,AK-040
ABIT,AK-010
ABIT,AK-020
ABLOnG,ABLOnG A13
ABLOnG,ABLOnG A12
ABLOnG,ABLOnG A10
ABLONG,ABLONG BL802
ABLOnG,ABLOnG BL801
ABLONG,A802b
ABO,AB-3965
ABO,AB-3964
ABO,AB-3542
ABO,AB-2551
ABO,AB-3962
ABO,AB-2360
ABO,AB-3541
ABO,AB-2450
ABO,AB-2550
ABO,3550Q
ABO,3560
ABO,354X
abo,AB-3801Q
abo,AB-3963
abo,AB-2480
abo,AB-2380
abo,AB-2399
ABTEL,"R80,R3770,S6, S7562,T599"
ABTEL,"5830+ ,6500+,9100+,8150+, A501"
ABtel,"S5,H7060,I8750,M8,N3"
abudng,abudng R9
AC2000,iPhon 5S (A1457)
Accent,Smart Accent
Accent,Accent Tab
Accent,Accent mobile phone
Accord,ACCORD X18
Accord,Q111
Accord,Q155
Aceline,FE1
Aceline,FL1
Aceline,Aceline FC1
Acer,E600
Acer,"Z200, Z205"
Acer,S300
Acer,S520
Acer,E310 (C4_EU)
Acer,E140 (K4_US)
Acer,E210 (K5_US)
Acer,E140 (K4_EU)
Acer,E310 (C4_US)
Acer,E210 (K5_EU)
Acer,T01
Acer,S120 (A4_US)
Acer,T02
acer,T012
Acer,S120 (A4_EU)
acer,TM012
Acer,TM01
Acer,T03
Acer,S58
Acer,E39
Acer,"A1-713, A1-713HD, A1403"
Acer,S53
Acer,A6201
Acer,AK330s
Acer,"Z1, Z110"
Acer,AK330t
Acer,"V360, Acer V360"
Acer,K6_US
Acer,Z410
Acer,M220
Acer,Z220
Acer,Z500
Acer,K6_EU
Acer,"A1-724, A1411"
Acer,Z520
Acer,Acer V360n
Acer,Gaudi_EU
Acer,Gaudi_US
Acer,"V370, Acer V370"
Acer,Iconia B1-711
Acer,Z150 EU
Acer,Z150 US
Acer,"Z2, Z120"
Acer,"I1, I100"
Acer,Acer S500
Acer,T04
Acer,"A1406, A1-841"
Acer,"A10u, S510"
Acer,B1-721
Acer,GM7050
Acer,Z130
Acer,DC100
Acer,T07
Acer,T06
Acer,C01
Acer,C12_LTE
Acer,A1-811_US
Acer,C12_WCDMA
Acer,Iconia A1-811_EU
Acer,"A10, S510, Acer S510"
Acer,"S520, Acer S520"
Acer,TD600
Acer,E320 EU
Acer,Iconia Tab
Acer,"acer A800, S500"
Acer,E320 US
Acer,A8X_US
Acer,E350 / AK330
Acer,E330
Acer,A9 LTE
Acer,AT390
Acer,TK010
Acer,W4_US
Acer,A5301
Acer,Iconia A3-A11
Acer,"Zx, Z130"
Acer,S58A
ACER,Acer One 7 J73G
Acetech Electronic,M280
ACKEES,ACKEES V3272
AcSiP,MT2502
act,M311
act,C871C
act,M341
act,M332
act,V505
act,C873C
act,W531
act,M399
act,C872C
act,M201
Act,M621
ACT,M533
act,Utec V308
act,Utec V392
act,B071
act,Smart 102
act,W022
act,C880C
act,V528
act,V192
act,Smart 101
act,M751
act,C8715M
act,C8712F
act,A305
act,A755
act,A730
act,A366
act,C870A
act,C871A
act,A590
act,A511
act,C873F
act,C870F
act,C870C
act,S622
Act mobile,M605
ACTIA,TEM3G
ACTIA,TEM4G
ACTIA,Telematics Control Unit
ACTIA,DHU2
ACTIA,ACUII-06
ACTIA AUTOMOTIVE, TGU-R
ACTIA Automotive,Telematic Gateway TGW2.1
Activereports,i5-2
Activereports,DSN X32
Activereports,DSN M22
Activereports,DSN500
Acube,"U51GT,U39GTS,U55GTS,U58GT,U59GT"
ADAR,Facom Mobile F-200
ADAR,Facom Mobile F100
ADAYO,3G007
ADCOM,Aqua101
ADDTEL,"N7100,N8020"
ADDTEL,"miniC3212,miniC3782,miniE2252,T608"
ADDTEL,"S3, 6110i"
ADDTEL,"S7562,I8190"
ADDTEL,"C3782,Q8000,A290,S7220"
ADDTEL,"C3212,S5610,E2152,D900"
ADDTEL,"mini S1, mini S2, mini S3,mini S4"
ADMET,"B20,B33,C100,C600"
ADMET,"B11, B22, F6, F9"
ADMET,"i50, i68, i69, i89"
ADMET,"B10, B30, B60, B90"
ADMET,"i99, F2, F8"
ADMET,"T13, T14, T15, T16"
ADMET,"T10,T20,T18,T19"
ADMET,"T11,T12,T21,T22"
ADMET,"G5, G6, G7, G9"
ADMET,"i40, i66, i88"
ADT,GSMV3G-ADT
ADVAN,T3E
ADVAN,S35_3528
ADVAN,S5G
ADVAN,S5K
ADVAN,S5J
ADVAN,S35D 3588
ADVAN,VANDROID S5E
ADVAN,S50 5013
ADVAN,HAMMER R3C 2405
ADVAN,S6 6001
ADVAN,VANDROID T1J
ADVAN,S6C
ADVAN,T5C
ADVAN,S3_New3528
ADVAN,S5M 5004
ADVAN,S5L 5518
Advan,7010
Advan,7011
ADVAN,T1G PLUS
ADVAN,S45A PLUS
ADVAN,S5J Pro
ADVAN,T1X PRO
ADVAN,W100 1002
ADVAN,W80 8001
ADVAN,S4M
Advan,5401
ADVAN,T1K Plus 7021
ADVAN,T5C Pro
ADVAN,S4H Plus
ADVAN,W90
ADVAN,S3 Lite 3516
ADVAN,T3H
ADVAN,S6A 6018
Advan,DT-10
Advan,E1-B
ADVAN,T1Z 7052
Advan,S5Q 5020
Advan,E1C NEW
ADVAN,T1M PLUS
ADVAN,T3E PRO
Advan,S45A 4511
ADVAN,S5E CORE
Advan,T1-E
ADVAN,T5C+ 7805
ADVAN,S45F
ADVAN,S3 LITE
ADVAN,S5X+ 5500
Advan,S5-F
ADVAN,Q7A PLUS
ADVAN,S45E
ADVAN,T1G Plus 7770
ADVAN,T2F Plus 7408
ADVAN,S4A New
ADVAN,M6 5026
ADVAN,S5J+ 5009
ADVAN,S55 5006
ADVAN,S45C 4512
ADVAN,S4M 4026
ADVAN,S4A+ 4011
ADVAN,T1S 7056
ADVAN,T1Q Plus 7021
ADVAN,S4K 4028
ADVAN,T3C
ADVAN,S4M Plus
ADVAN,S45D 4545
ADVAN,S3 New
ADVAN,T1X Pro 7056
ADVAN,T1R 7021
ADVAN,E1C
ADVAN,Q7A
ADVAN,T1J+
Advan,S7D
ADVAN,S3A
ADVAN,T5X
Advan,S55D
ADVAN,R1C
ADVAN,T1L+
ADVAN,S5G+
Advan,S7A
ADVAN,S4E
ADVAN,R6M
ADVAN,S4C
ADVAN,R1B
Advan,X7 Plus
Advan,S4R
Advan,S4T
ADVAN,R6F
Advan,S35J
Advan,S6E
ADVAN,POWER4
Advan,S4Z
ADVAN,R3A
ADVAN,T1G
Advan,E1C 3G
Advan,R3C
Advan,S35K
Advan,S4F_4033
Advan,S35H_3589
Advan,S4F
Advan,E1C Pro
ADVAN,S4D
Advan,B4
ADVAN,S5E
Advan,i4
Advan,S4Q
Advan,S4i
ADVAN,S5i
ADVAN,R5
ADVAN,S3+
ADVAN,S4+
ADVAN,S5P
ADVAN,R5B
ADVAN,S5L
ADVAN,T1Z
Advan,R3D
ADVAN,R1A
ADVAN,S5X
ADVAN,S4A
ADVAN,T5E
ADVAN,R3
Advan,X7 Pro
ADVAN,T2G
Advan,i7 Plus
Advan,E1C 4G
ADVAN,R7A
Advan,CT1
ADVAN,B5
Advan,5201
Advan,4059
Advan,5058
ADVAN,T3Z
Advan,5203
Advan,5066
Advan,4058
Advan,5701
ADVAN,S5M
Advan,W12
Advan,4060
Advan,5059
Advan,T6C
Advan,T6A
Advan,5703
Advan,7035
Advan,X7A
Advan,7036
Advan,5702
Advan,7037
Advan,5202
Advan,7038
Advan,4536
Advan,4532
Advan,4055
Advan,5064
ADVAN,HAMMER R5C
Advan,5062
Advan,4533
Advan,5063
Advan,4535
Advan,4538
ADVAN,S5Q
Advan,5061
Advan,4056
Advan,5060
Advan,4057
